fold,domain,user_id,emotion,w_gt,w_pred
0,art,3,impressed,0.998431961519638,2.093722e-05
0,art,3,intellectual,-0.05660826263760865,1.1769393e-05
0,art,3,motivated,0.1541188902097845,1.44080295e-05
0,art,3,amused,0.053742602641063175,7.75681e-06
0,art,3,nostalgic,0.01210944197688267,2.489665e-06
0,art,3,sad,0.17545520399742365,1.3218857e-05
0,art,3,distasteful,-0.3660588920274877,1.5864639e-06
0,art,14,impressed,0.20328945373733415,-0.0008788196
0,art,14,intellectual,0.278839278660919,-0.14761083
0,art,14,motivated,0.17576185491286367,0.105413206
0,art,14,amused,0.49279646867896854,1.0388653
0,art,14,nostalgic,0.025863085830941046,0.17349885
0,art,14,sad,0.133065174927248,0.09762592
0,art,14,distasteful,-0.08581910680564686,0.3382138
0,art,15,impressed,0.055748870098430076,0.021489274
0,art,15,intellectual,0.09460001657249119,0.020186804
0,art,15,motivated,0.1274664632645552,0.023370989
0,art,15,amused,0.09573317813511975,0.029990183
0,art,15,nostalgic,0.04162332272250835,0.025151035
0,art,15,sad,0.04157482905854125,-0.0031985154
0,art,15,distasteful,-0.020552141660102434,-0.021575546
0,art,19,impressed,0.3222373789699735,0.1638632
0,art,19,intellectual,0.23550196337328844,0.48061508
0,art,19,motivated,0.14014625246936263,-0.48589796
0,art,19,amused,0.32737564973805455,0.41964427
0,art,19,nostalgic,0.16933079373368182,0.1277145
0,art,19,sad,-0.054971818432407865,0.16947904
0,art,19,distasteful,-0.12327716921524279,-0.17788282
0,art,21,impressed,0.04440582917295555,0.13352367
0,art,21,intellectual,0.14167777220667113,0.11430083
0,art,21,motivated,-0.02103907837874361,-0.03965796
0,art,21,amused,0.9474995796407628,0.13764322
0,art,21,nostalgic,0.015134269837166925,0.2711769
0,art,21,sad,0.43229425806803623,0.25489795
0,art,21,distasteful,-0.02199719960755843,-0.054859824
0,art,22,impressed,0.6840106888162194,0.28038126
0,art,22,intellectual,0.11892915256896247,0.31500626
0,art,22,motivated,-0.18247167299601763,-0.08835602
0,art,22,amused,0.3256259115144463,0.12915589
0,art,22,nostalgic,0.28190000601707155,0.7681355
0,art,22,sad,0.20344689733399807,0.32693344
0,art,22,distasteful,-0.18315293436794297,0.40962386
0,art,30,impressed,0.3094359987264932,-0.08637624
0,art,30,intellectual,0.21732456586073567,-0.022809874
0,art,30,motivated,0.24739809980845506,0.3696685
0,art,30,amused,0.46564513922072215,0.2053804
0,art,30,nostalgic,-0.06274994245102888,-0.50916356
0,art,30,sad,0.0028801061095864167,-0.38488266
0,art,30,distasteful,-0.18217488258515707,-0.081105396
0,art,50,impressed,0.2949020667510033,0.14243528
0,art,50,intellectual,0.18327564815863837,0.12047945
0,art,50,motivated,-0.04216867019889624,0.052933257
0,art,50,amused,0.32443017033710453,0.08157256
0,art,50,nostalgic,0.05483929979237655,0.11583809
0,art,50,sad,0.007770859475915215,0.062440105
0,art,50,distasteful,0.03362150927001323,0.10788142
0,art,57,impressed,-0.005470350730510928,-0.1717677
0,art,57,intellectual,-0.06799198238864115,-0.20161548
0,art,57,motivated,0.022865482073296334,0.413236
0,art,57,amused,-0.023531495745895456,0.26159993
0,art,57,nostalgic,0.0970258256130272,-0.26505846
0,art,57,sad,0.07503109035391262,0.26310888
0,art,57,distasteful,-0.3348574298765759,-0.5005427
0,art,62,impressed,0.23977850249300686,0.25298172
0,art,62,intellectual,0.17726853937856302,0.06927808
0,art,62,motivated,0.23518206778421102,0.18223365
0,art,62,amused,0.10708544199473621,0.07927842
0,art,62,nostalgic,0.3461416627197651,0.0070938426
0,art,62,sad,0.10302855803125952,0.054645266
0,art,62,distasteful,-0.4153027502600974,-0.2731394
0,art,63,impressed,0.06450352083053035,0.03188833
0,art,63,intellectual,0.2401042317525387,0.022034869
0,art,63,motivated,0.10879508781180551,0.031632584
0,art,63,amused,0.09614119239834537,0.05662179
0,art,63,nostalgic,-0.04049332079082053,0.016643787
0,art,63,sad,0.016438974411523345,-0.018909974
0,art,63,distasteful,-0.13203220841649874,-0.021060029
0,art,79,impressed,0.2780732731292985,0.17903042
0,art,79,intellectual,0.15361633586195783,0.023429515
0,art,79,motivated,0.25375890743797913,-0.031085541
0,art,79,amused,0.20351657114526078,0.06980038
0,art,79,nostalgic,0.27353985629078903,0.4629111
0,art,79,sad,0.038259458189665474,-0.05060587
0,art,79,distasteful,-0.12399576907119214,0.13690422
0,art,80,impressed,0.7541531584811729,1.2509587
0,art,80,intellectual,0.4622093372305547,-0.27571973
0,art,80,motivated,0.041610164276140615,-0.37617493
0,art,80,amused,0.32821344063701774,-0.2656086
0,art,80,nostalgic,0.27516510733045374,0.9582824
0,art,80,sad,0.05390901056800135,-0.14647977
0,art,80,distasteful,-0.22233393519886727,0.12164682
0,art,85,impressed,0.18717528537923322,-0.095190555
0,art,85,intellectual,0.20945433838818045,-0.18332747
0,art,85,motivated,0.08306961587465932,0.040624794
0,art,85,amused,0.2550533971829888,0.45427066
0,art,85,nostalgic,0.07350857313383721,-0.07951434
0,art,85,sad,0.023525343409409052,-0.15913974
0,art,85,distasteful,-0.13248586928779033,-0.0072614597
0,art,86,impressed,0.26580772002671627,0.09639808
0,art,86,intellectual,-0.05165531081781815,0.0413903
